Ticker,Current Price,50-Day MA,100-Day MA,Next Earnings Date
VOO,529.9500122070312,542.3394000244141,543.4640444946289,N/A
SCHD,27.91990089416504,27.95939800262451,28.05479711532593,N/A
QQQM,202.66490173339844,209.55922088623046,210.0833270263672,N/A
VUG,390.656494140625,405.70652770996094,407.9117919921875,N/A
XLV,146.0399932861328,145.49258239746095,143.85226501464842,N/A
QQQ,492.2699890136719,509.0290191650391,510.3367218017578,N/A
AMZN,205.0,217.9751998901367,216.0013998413086,2025-04-28
MSFT,394.3599853515625,407.38533264160156,417.2498968505859,2025-04-23
AAPL,223.1999969482422,231.11012969970704,234.76052841186524,2025-04-30
LLY,857.385009765625,838.3224157714844,813.9301837158204,2025-05-01
TSLA,277.5249938964844,330.6494995117188,347.8378492736816,2025-04-23
NVDA,120.7249984741211,126.25066650390625,133.0519596862793,2025-05-28
QCOM,161.16000366210938,163.56557861328125,161.40054672241212,2025-04-29
AMD,113.33999633789062,110.13119964599609,122.31220031738282,2025-04-28
AMGN,309.0,297.4006707763672,288.7852822875977,2025-04-30
XOM,116.30000305175781,109.93705764770507,111.36700950622559,2025-04-03
DFS,169.2449951171875,184.91302703857423,178.65691116333008,2025-04-15
ULTA,369.80999755859375,376.88700134277343,387.87080139160156,2025-05-28
AXP,278.1449890136719,296.9920999145508,295.4118705749512,2025-04-17
PHM,106.375,108.08003173828125,115.35389205932617,2025-04-22
META,626.4550170898438,652.8082421875,622.2657238769531,2025-04-22
PFE,25.78499984741211,26.105368194580077,25.96752296447754,2025-04-29
NVO,74.37999725341797,83.20460037231446,92.61219993591308,2025-05-07
ASML,729.4949951171875,729.8846997070312,714.1021478271484,2025-04-16
TMUS,258.81500244140625,248.22940979003906,238.65801391601562,2025-04-24
SNY,55.95000076293945,54.68360008239746,51.88279987335205,2025-04-24
PLTR,95.80000305175781,89.58380020141601,78.05490005493164,2025-05-05
HD,362.25,390.0633026123047,396.126083984375,2025-05-20
OC,149.97500610351562,165.7352136230469,175.52869964599608,2025-04-22
PANW,187.29949951171875,186.48458923339842,188.71319458007812,2025-05-19
DG,83.76000213623047,75.0813998413086,75.72924407958985,2025-05-28
WMT,85.44000244140625,94.50828994750977,91.86689628601074,2025-05-15
COST,925.8099975585938,983.9175512695313,962.8732196044922,2025-05-29
MCD,306.7724914550781,298.12588989257813,294.87731018066404,2025-04-28
AVGO,191.1300048828125,212.01671813964845,202.32385162353515,2025-06-10
SBUX,95.69000244140625,104.82307388305664,100.30054542541504,2025-04-28
CMG,49.98939895629883,54.2327880859375,57.467694206237795,2025-04-23
SYK,374.5224914550781,383.9284490966797,378.9212222290039,2025-04-28
V,342.864990234375,340.56482666015626,324.9234506225586,2025-04-21
ECL,251.47000122070312,253.9515475463867,248.3288932800293,2025-04-29
CAT,342.7956848144531,357.25810302734374,369.2831109619141,2025-04-23
UBER,75.26029968261719,72.73160552978516,70.27040279388427,2025-05-06
GOOGL,169.66000366210938,181.52949981689454,181.29165390014649,2025-04-23
LMT,436.9800109863281,457.924384765625,484.1343960571289,2025-04-21
NFLX,989.625,959.9604968261718,913.519146118164,2025-04-17
TSM,180.14500427246094,193.9121630859375,194.68173294067384,2025-04-16
REGN,652.940673828125,688.1465502929688,725.458773803711,2025-04-30
